"Story","Title","Result","Date","Stability","Duration (s)"
"Get Product API","01 - User can get all products list","SUCCESS","2021-12-23T16:36:42.525+07:00[Asia/Jakarta]","0.0","23.85"
"Get Product API","02 - User can get all products list with limit param","SUCCESS","2021-12-23T16:37:06.43+07:00[Asia/Jakarta]","0.0","31.13"
"Get Product API","04 - User will get null response if set ID in negative value","SUCCESS","2021-12-23T16:37:58.191+07:00[Asia/Jakarta]","0.0","16.42"
"Get Product API","05 - User will get null response if set ID in very big number (product id not exist)","SUCCESS","2021-12-23T16:38:14.633+07:00[Asia/Jakarta]","0.0","30.63"
